sardi-colora-variations-icons-git 9.7-2
sardi-flat-colora-variations-icons-git 9.7-2
sardi-flat-mixing-icons-git 9.7-2
sardi-flexible-colora-variations-icons-git 9.7-2
sardi-flexible-luv-colora-variations-icons-git 9.7-2
sardi-flexible-mixing-icons-git 9.7-2
sardi-flexible-variations-icons-git 9.7-2
sardi-ghost-flexible-colora-variations-icons-git 9.7-2
sardi-ghost-flexible-mixing-icons-git 9.7-2
sardi-ghost-flexible-variations-icons-git 9.7-2
sardi-icons 9.7-2
sardi-mixing-icons-git 9.7-2
sardi-mono-colora-variations-icons-git 9.7-2
sardi-mono-mixing-icons-git 9.7-2
sardi-mono-numix-colora-variations-icons-git 9.7-2
sardi-mono-papirus-colora-variations-icons-git 9.7-2
sardi-orb-colora-mixing-icons-git 9.7-2
sardi-orb-colora-variations-icons-git 9.7-2
sbc 1.4-1
screenfetch 3.8.0-3
screenkey 0.9-1
scrot 0.9.1-1
sdl 1.2.15-10
sdl2 2.0.9-1
sed 4.7-1
semver 6.1.1-1
serf 1.3.9-3
shaderc 2018.0-3
shadow 4.6-3
shared-mime-info 1.12-1
sharutils 4.15.2-3
simple-scan 3.32.2.1-1
simplescreenrecorder 0.3.11-1
slang 2.3.2-1
smbclient 4.10.4-1
snappy 1.1.7-1
sound-theme-freedesktop 0.8-3
soundtouch 2.1.2-1
spandsp 0.0.6-2
speex 1.2.0-2
speexdsp 1.2.0-1
spirv-tools 2018.5-1
spotify 1:1.0.98.78-2
sqlite 3.28.0-1
srt 1.3.2-1
startup-notification 0.12-6
sublime-text-dev 3.3207-1
subversion 1.12.0-3
sudo 1.8.27-1
suitesparse 5.4.0-1
surfn-icons-git 9.7-2
sysfsutils 2.1.0-10
sysstat 12.1.5-1
system-config-printer 1.5.11-4
systemd 242.29-1
systemd-libs 242.29-1
systemd-sysvcompat 242.29-1
t1lib 5.1.2-7
taglib 1.11.1-3
talloc 2.2.0-1
tamsyn-font 1.11-3
tar 1.32-1
tdb 1.3.18-2
temps 0.7.0-1
terminus-font 4.47-2
termite 15-1
termite-terminfo 15-1
tevent 1:0.9.39-2
texinfo 6.6-1
thin-provisioning-tools 0.8.5-2
thunar 1.8.6-2
thunar-archive-plugin 0.4.0-1
thunar-volman 0.9.2-1
tolua++ 1.0.93-3
trizen 1:1.60-1
tslib 1.20-1
ttf-bitstream-vera 1.10-12
ttf-dejavu 2.37-2
ttf-droid 20121017-6
ttf-font-awesome 5.9.0-1
ttf-inconsolata 1:2.0.0.1-3
ttf-liberation 2.00.5-1
ttf-mac-fonts 20100902.134-1
ttf-roboto 2.138-1
ttf-ubuntu-font-family 0.83-4
tumbler 0.2.4-1
twolame 0.3.13-8
tzdata 2019a-1
uchardet 0.0.6-2
udisks2 2.8.2-1
unace 2.5-10
unclutter 1:1.5-1
unibilium 2.0.0-1
unrar 1:5.7.5-1
unzip 6.0-13
upower 0.99.10-1
urxvt-perls 2.2-2
urxvt-resize-font-git 14.97c91ec-1
usbmuxd 1.1.0+48+g1cc8b34-3
usbutils 010-1
util-linux 2.33.2-1
uudeview 0.5.20-14
v4l-utils 1.16.6-1
vala 0.44.4-1
vamp-plugin-sdk 2.8.0-1
variety 0.7.2-1
vi 1:070224-3
vid.stab 1.1-2
virtualbox 6.0.8-2
virtualbox-host-modules-arch 6.0.8-11
vivaldi 2.5.1525.48-1
vivaldi-codecs-ffmpeg-extra-bin 73.0.3683.86-1
vlc 3.0.7.1-1
vnstat 2.2-1
volume_key 0.3.11-2
volumeicon 0.5.1-4
vte-common 0.56.3-1
vte3 0.56.3-1
